"Model","stimulus","MOS","VP1","VP2","VP3","VP4","TotalPatches"
"Beethoven_bakedUV2","Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_712x712_Q10",0.946428571428573,44,40,44,39,167
"TimeWarner_SA_remote","TimeWarner_SA_remote_simpL4_qp10_qt6_decompJPEG_1440x1440_Q10",0.857142857142857,53,29,50,28,160
"Jomon_bakedUV","Jomon_bakedUV_simpL2_qp11_qt6_decompJPEG_2048x2048_Q90",0.68125,71,73,86,70,300
"to_subs","to_subs_simpL3_qp8_qt10_decompJPEG_512x512_Q10",0.790697674418605,15,0,22,0,37
"to_subs","to_subs_simpL9_qp7_qt6_decompJPEG_712x712_Q50",0.952380952380953,15,0,22,0,37
"dom_utka","dom_utka_simpL10_qp10_qt6_decompJPEG_2048x2048_Q75",0.609756097560975,45,31,45,27,148
"Ailurodus_maculosus","Ailurodus_maculosus_simpL2_qp10_qt6_decompJPEG_512x512_Q10",0.666666666666668,50,47,48,47,192
"Jomon_bakedUV","Jomon_bakedUV_simpL6_qp11_qt7_decompJPEG_2048x2048_Q25",0.375,71,73,86,70,300
"CharlieChaplin","CharlieChaplin_simpL10_qp7_qt6_decompJPEG_1024x1024_Q25",0.926829268292682,37,32,42,19,130
"1970.16_Neck_Amphora_100K","1970.16_Neck_Amphora_100K_simpL10_qp9_qt9_decompJPEG_1024x1024_Q75",0.3125,72,77,86,78,313
"abel_highpoly_meshexp","abel_highpoly_meshexp_simpL9_qp10_qt6_decompJPEG_1440x1440_Q25",0.463414634146343,30,24,20,16,90
"sylvaniapathmaker","sylvaniapathmaker_simpL2_qp8_qt10_decompJPEG_2048x2048_Q25",0.546511627906977,81,65,84,68,298
"piano","piano_simpL1_qp9_qt7_decompJPEG_2048x2048_Q50",0.267441860465118,109,90,148,90,437
"abel_highpoly_meshexp","abel_highpoly_meshexp_simpL3_qp11_qt6_decompJPEG_712x712_Q50",0.443181818181817,30,24,20,16,90
"1970.16_Neck_Amphora_100K","1970.16_Neck_Amphora_100K_simpL10_qp10_qt9_decompJPEG_1024x1024_Q75",0.303571428571427,72,77,86,78,313
"Jomon_bakedUV","Jomon_bakedUV_simpL3_qp8_qt9_decompJPEG_1024x1024_Q90",0.505555555555555,71,73,86,70,300
"abel_highpoly_meshexp","abel_highpoly_meshexp_simpL3_qp9_qt6_decompJPEG_2048x2048_Q25",0.452380952380953,30,24,20,16,90
"Beethoven_bakedUV2","Beethoven_bakedUV2_simpL8_qp11_qt10_decompJPEG_2048x2048_Q25",0.172222222222222,44,40,44,39,167
"Ailurodus_maculosus","Ailurodus_maculosus_simpL7_qp8_qt10_decompJPEG_2048x2048_Q25",0.55625,50,47,48,47,192
"abel_highpoly_meshexp","abel_highpoly_meshexp_simpL7_qp9_qt6_decompJPEG_712x712_Q90",0.513157894736842,30,24,20,16,90
"abel_highpoly_meshexp","abel_highpoly_meshexp_simpL7_qp10_qt6_decompJPEG_712x712_Q50",0.480263157894738,30,24,20,16,90
"dom_utka","dom_utka_simpL1_qp7_qt7_decompJPEG_512x512_Q10",0.880681818181817,45,31,45,27,148
"piano","piano_simpL9_qp9_qt7_decompJPEG_1440x1440_Q25",0.36046511627907,109,90,148,90,437
"Beethoven_bakedUV2","Beethoven_bakedUV2_simpL3_qp9_qt9_decompJPEG_512x512_Q75",0.536585365853657,44,40,44,39,167
"dom_utka","dom_utka_simpL7_qp8_qt9_decompJPEG_1024x1024_Q10",0.55,45,31,45,27,148
"1970.16_Neck_Amphora_100K","1970.16_Neck_Amphora_100K_simpL10_qp8_qt7_decompJPEG_1024x1024_Q90",0.354651162790698,72,77,86,78,313
"dom_utka","dom_utka_simpL4_qp7_qt6_decompJPEG_512x512_Q50",0.931818181818183,45,31,45,27,148
"Beethoven_bakedUV2","Beethoven_bakedUV2_simpL10_qp7_qt10_decompJPEG_2048x2048_Q75",0.920731707317072,44,40,44,39,167
"CharlieChaplin","CharlieChaplin_simpL9_qp8_qt10_decompJPEG_512x512_Q25",0.7875,37,32,42,19,130
"to_subs","to_subs_simpL10_qp11_qt8_decompJPEG_1024x1024_Q75",0.961538461538463,15,0,22,0,37
"sylvaniapathmaker","sylvaniapathmaker_simpL10_qp9_qt9_decompJPEG_2048x2048_Q75",0.625,81,65,84,68,298
"Beethoven_bakedUV2","Beethoven_bakedUV2_simpL5_qp8_qt8_decompJPEG_712x712_Q10",0.801136363636362,44,40,44,39,167
"Ailurodus_maculosus","Ailurodus_maculosus_simpL9_qp9_qt7_decompJPEG_712x712_Q50",0.416666666666668,50,47,48,47,192
"piano","piano_simpL7_qp10_qt7_decompJPEG_712x712_Q90",0.289473684210528,109,90,148,90,437
"abel_highpoly_meshexp","abel_highpoly_meshexp_simpL3_qp8_qt10_decompJPEG_1024x1024_Q90",0.587209302325583,30,24,20,16,90
"CharlieChaplin","CharlieChaplin_simpL2_qp10_qt6_decompJPEG_512x512_Q10",0.68452380952381,37,32,42,19,130
"TimeWarner_SA_remote","TimeWarner_SA_remote_simpL9_qp11_qt6_decompJPEG_2048x2048_Q75",0.791666666666668,53,29,50,28,160
"CharlieChaplin","CharlieChaplin_simpL9_qp10_qt6_decompJPEG_512x512_Q75",0.680232558139535,37,32,42,19,130
"abel_highpoly_meshexp","abel_highpoly_meshexp_simpL10_qp7_qt7_decompJPEG_1024x1024_Q50",0.494318181818183,30,24,20,16,90
"Jomon_bakedUV","Jomon_bakedUV_simpL8_qp10_qt9_decompJPEG_712x712_Q10",0.511904761904763,71,73,86,70,300
