"Model","stimulus","MOS","VP1","VP2","VP3","VP4","TotalPatches"
"PRI_Hepatus","PRI_Hepatus_simpL1_qp11_qt9_decompJPEG_712x712_Q10",0.337209302325583,57,40,52,40,189
"lizard_BakedUV","lizard_BakedUV_simpL9_qp11_qt7_decompJPEG_712x712_Q75",0.363095238095237,13,2,1,6,22
"shark_bakedUV","shark_bakedUV_simpL10_qp9_qt6_decompJPEG_1440x1440_Q90",0.80625,22,21,15,28,86
"Orchid","Orchid_simpL4_qp10_qt9_decompJPEG_512x512_Q75",0.0388888888888901,70,72,43,82,267
"Flintlock_Pistol","Flintlock_Pistol_simpL5_qp7_qt9_decompJPEG_2048x2048_Q10",0.982142857142857,9,5,10,8,32
"PlaningMachine200K","PlaningMachine200K_simpL9_qp8_qt6_decompJPEG_1440x1440_Q10",0.575581395348837,60,62,67,58,247
"Orchid","Orchid_simpL3_qp8_qt10_decompJPEG_1024x1024_Q50",0.15340909090909,70,72,43,82,267
"bread_BakedUV","bread_BakedUV_simpL7_qp9_qt7_decompJPEG_1024x1024_Q50",0.622222222222222,74,52,30,54,210
"shark_bakedUV","shark_bakedUV_simpL10_qp8_qt6_decompJPEG_1440x1440_Q10",0.825581395348838,22,21,15,28,86
"dino_retopo_uv","dino_retopo_uv_simpL7_qp11_qt8_decompJPEG_1440x1440_Q10",0.2125,23,49,25,7,104
"dorfkirche","dorfkirche_simpL7_qp10_qt10_decompJPEG_1024x1024_Q10",0.238636363636362,70,61,73,54,258
"shark_bakedUV","shark_bakedUV_simpL4_qp10_qt9_decompJPEG_712x712_Q75",0.405555555555555,22,21,15,28,86
"dino_retopo_uv","dino_retopo_uv_simpL1_qp11_qt7_decompJPEG_512x512_Q90",0.446428571428573,23,49,25,7,104
"Orchid","Orchid_simpL1_qp11_qt7_decompJPEG_1440x1440_Q50",0.0952380952380949,70,72,43,82,267
"dorfkirche","dorfkirche_simpL6_qp11_qt10_decompJPEG_512x512_Q50",0.115853658536585,70,61,73,54,258
"Lidded-Ewer_bakedUV","Lidded-Ewer_bakedUV_simpL4_qp10_qt8_decompJPEG_2048x2048_Q75",0.220238095238095,61,56,66,54,237
"PlaningMachine200K","PlaningMachine200K_simpL9_qp8_qt6_decompJPEG_712x712_Q50",0.59375,60,62,67,58,247
"dino_retopo_uv","dino_retopo_uv_simpL2_qp11_qt8_decompJPEG_2048x2048_Q90",0.36904761904762,23,49,25,7,104
"dorfkirche","dorfkirche_simpL2_qp10_qt10_decompJPEG_712x712_Q25",0.174418604651162,70,61,73,54,258
"dino_retopo_uv","dino_retopo_uv_simpL7_qp9_qt10_decompJPEG_512x512_Q25",0.25,23,49,25,7,104
"dino_retopo_uv","dino_retopo_uv_simpL2_qp11_qt6_decompJPEG_1024x1024_Q25",0.786585365853657,23,49,25,7,104
"PRI_Hepatus","PRI_Hepatus_simpL8_qp11_qt7_decompJPEG_1440x1440_Q25",0.494186046511627,57,40,52,40,189
"PlaningMachine200K","PlaningMachine200K_simpL8_qp11_qt10_decompJPEG_512x512_Q50",0.202380952380953,60,62,67,58,247
"shark_bakedUV","shark_bakedUV_simpL10_qp9_qt6_decompJPEG_2048x2048_Q10",0.80813953488372,22,21,15,28,86
"PlaningMachine200K","PlaningMachine200K_simpL9_qp8_qt6_decompJPEG_2048x2048_Q90",0.622222222222222,60,62,67,58,247
"PRI_Hepatus","PRI_Hepatus_simpL8_qp11_qt8_decompJPEG_712x712_Q10",0.335365853658538,57,40,52,40,189
"Triceratops_manifold","Triceratops_manifold_simpL1_qp9_qt9_decompJPEG_1024x1024_Q10",0.236842105263158,22,17,22,26,87
"shark_bakedUV","shark_bakedUV_simpL10_qp9_qt10_decompJPEG_2048x2048_Q50",0.583333333333332,22,21,15,28,86
"PRI_Hepatus","PRI_Hepatus_simpL1_qp8_qt10_decompJPEG_2048x2048_Q50",0.63095238095238,57,40,52,40,189
"shark_bakedUV","shark_bakedUV_simpL10_qp9_qt6_decompJPEG_1024x1024_Q90",0.75,22,21,15,28,86
"PRI_Hepatus","PRI_Hepatus_simpL8_qp7_qt6_decompJPEG_1024x1024_Q10",0.9375,57,40,52,40,189
"lizard_BakedUV","lizard_BakedUV_simpL10_qp7_qt9_decompJPEG_712x712_Q10",0.767441860465117,13,2,1,6,22
"bread_BakedUV","bread_BakedUV_simpL3_qp9_qt9_decompJPEG_512x512_Q75",0.301282051282053,74,52,30,54,210
"PRI_Hepatus","PRI_Hepatus_simpL3_qp11_qt8_decompJPEG_512x512_Q75",0.298780487804878,57,40,52,40,189
"lizard_BakedUV","lizard_BakedUV_simpL10_qp7_qt7_decompJPEG_712x712_Q10",0.762820512820513,13,2,1,6,22
"Lidded-Ewer_bakedUV","Lidded-Ewer_bakedUV_simpL4_qp11_qt8_decompJPEG_512x512_Q50",0.15340909090909,61,56,66,54,237
"PRI_Hepatus","PRI_Hepatus_simpL4_qp9_qt6_decompJPEG_712x712_Q25",0.79375,57,40,52,40,189
"PRI_Hepatus","PRI_Hepatus_simpL5_qp11_qt8_decompJPEG_512x512_Q10",0.4875,57,40,52,40,189
"PlaningMachine200K","PlaningMachine200K_simpL9_qp8_qt7_decompJPEG_512x512_Q25",0.541666666666668,60,62,67,58,247
