"Model","stimulus","MOS","VP1","VP2","VP3","VP4","TotalPatches"
"yourMesh","yourMesh_simpL10_qp8_qt10_decompJPEG_1024x1024_Q50",0.375,89,69,94,89,341
"GoldenStatueModel","GoldenStatueModel_simpL7_qp8_qt10_decompJPEG_2048x2048_Q10",0.80232558139535,40,29,51,32,152
"GeorgeWashington_BakedUV","GeorgeWashington_BakedUV_simpL1_qp9_qt7_decompJPEG_712x712_Q10",0.463414634146343,70,40,63,37,210
"Graphosoma","Graphosoma_simpL9_qp9_qt6_decompJPEG_712x712_Q10",0.45625,35,34,41,33,143
"diez_BakedUV","diez_BakedUV_simpL8_qp10_qt6_decompJPEG_1440x1440_Q75",0.75,73,50,54,52,229
"Streblognathus","Streblognathus_simpL4_qp8_qt6_decompJPEG_512x512_Q75",0.818181818181817,17,13,9,17,56
"GoldenStatueModel","GoldenStatueModel_simpL1_qp9_qt6_decompJPEG_1024x1024_Q25",0.647727272727272,40,29,51,32,152
"JaneAnne_WithBase","JaneAnne_WithBase_simpL4_qp10_qt8_decompJPEG_512x512_Q75",0.645348837209302,51,37,37,41,166
"skiboot_BakedUV","skiboot_BakedUV_simpL9_qp7_qt6_decompJPEG_1440x1440_Q90",0.975,90,71,102,102,365
"Boiler","Boiler_simpL5_qp7_qt10_decompJPEG_1440x1440_Q75",0.839285714285715,51,51,57,51,210
"Orbiter_Space_Shuttle_OV-103_Discovery-150k-4096","Orbiter_Space_Shuttle_OV-103_Discovery-150k-4096_simpL9_qp9_qt6_decompJPEG_1024x1024_Q10",0.914772727272728,32,24,37,9,102
"AsparnLoewe_C","AsparnLoewe_C_simpL1_qp9_qt10_decompJPEG_512x512_Q75",0.65340909090909,149,137,146,140,572
"diez_BakedUV","diez_BakedUV_simpL4_qp10_qt7_decompJPEG_1024x1024_Q50",0.511904761904763,73,50,54,52,229
"JaneAnne_WithBase","JaneAnne_WithBase_simpL9_qp10_qt6_decompJPEG_512x512_Q90",0.794444444444445,51,37,37,41,166
"JaneAnne_WithBase","JaneAnne_WithBase_simpL2_qp9_qt9_decompJPEG_712x712_Q75",0.59375,51,37,37,41,166
"yourMesh","yourMesh_simpL4_qp7_qt10_decompJPEG_2048x2048_Q75",0.773255813953488,89,69,94,89,341
"yourMesh","yourMesh_simpL10_qp7_qt7_decompJPEG_2048x2048_Q50",0.383720930232557,89,69,94,89,341
"JaneAnne_WithBase","JaneAnne_WithBase_simpL1_qp8_qt10_decompJPEG_712x712_Q25",0.744318181818183,51,37,37,41,166
"diez_BakedUV","diez_BakedUV_simpL5_qp10_qt7_decompJPEG_712x712_Q25",0.44767441860465,73,50,54,52,229
"Boiler","Boiler_simpL8_qp7_qt10_decompJPEG_712x712_Q90",0.773809523809525,51,51,57,51,210
"diez_BakedUV","diez_BakedUV_simpL9_qp11_qt10_decompJPEG_512x512_Q50",0.1125,73,50,54,52,229
"Streblognathus","Streblognathus_simpL2_qp8_qt6_decompJPEG_1440x1440_Q10",0.84090909090909,17,13,9,17,56
"yourMesh","yourMesh_simpL10_qp11_qt9_decompJPEG_1440x1440_Q75",0.343023255813953,89,69,94,89,341
